ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
CNHI,2019-12-31,25303000000.0,24496000000,416000000.0,-136000000,206000000,1826000000
CNHI,2020-12-31,26506000000.0,25550000000,506000000.0,3679000000,659000000,5529000000
CNHI,2021-12-31,24162000000.0,23159000000,357000000.0,2049000000,-1445000000,4082000000
COKE,2018-12-31,1139651000.0,195681000,427749000.0,30644000,-28288000,168879000
COKE,2019-12-31,1169515000.0,208081000,419770000.0,114342000,-120627000,290370000
COKE,2020-12-31,1155998000.0,201760000,403825000.0,292427000,-248863000,494461000
COKE,2021-12-31,938603000.0,234092000,454934000.0,357069000,-272291000,521755000
COP,2018-12-31,14968000000.0,5879000000,4067000000.0,6184000000,-9359000000,12934000000
COP,2019-12-31,14895000000.0,9870000000,3401000000.0,4468000000,-5229000000,11104000000
COP,2020-12-31,15369000000.0,6700000000,2754000000.0,87000000,-2708000000,4802000000
COP,2021-12-31,19934000000.0,4029000000,6670000000.0,11672000000,-6335000000,16996000000
COST,2018-08-31,6487000000.0,363000000,1669000000.0,2805000000,-1281000000,5774000000
COST,2019-08-31,6823000000.0,248000000,1535000000.0,3358000000,-1147000000,6356000000
COST,2020-08-31,10167000000.0,3276000000,1550000000.0,6051000000,-1147000000,8861000000
COST,2021-08-31,10133000000.0,64000000,1803000000.0,5370000000,-6488000000,8958000000
CR,2018-12-31,949200000.0,622700000,515800000.0,305000000,-7900000,413800000
CR,2019-12-31,1106900000.0,583200000,555100000.0,325100000,-124600000,393900000
CR,2020-12-31,1328500000.0,517100000,432700000.0,275400000,55100000,309500000
CR,2021-12-31,944200000.0,949000000,472400000.0,446800000,-557900000,498500000
CSCO,2018-07-31,25569000000.0,34802000000,5554000000.0,12832000000,-31764000000,13666000000
CSCO,2019-07-31,24666000000.0,16043000000,5491000000.0,14922000000,-27889000000,15831000000
CSCO,2020-07-31,14583000000.0,18242000000,5472000000.0,14656000000,-18886000000,15426000000
CSCO,2021-07-31,11526000000.0,12855000000,5766000000.0,14762000000,-12039000000,15454000000
CTAS,2018-05-31,2535309000.0,1202075000,804583000.0,692461000,-864140000,964160000
CTAS,2019-05-31,2849771000.0,1108547000,910120000.0,791143000,-873305000,1067862000
CTAS,2020-05-31,2705431000.0,1424504000,870369000.0,1061194000,-955207000,1291483000
CTAS,2021-05-31,2716527000.0,909224000,901710000.0,1217270000,-879868000,1360740000
CTVA,2018-12-31,2068000000.0,3842000000,5409000000.0,-1018000000,-2624000000,483000000
CTVA,2019-12-31,122000000.0,5281000000,4225000000.0,-93000000,-2929000000,1070000000
CTVA,2020-12-31,1105000000.0,6220000000,3754000000.0,1589000000,303000000,2064000000
CTVA,2021-12-31,1117000000.0,5988000000,3441000000.0,2154000000,-1266000000,2727000000
CVX,2018-12-31,34459000000.0,6850000000,15050000000.0,16826000000,-13699000000,30618000000
CVX,2019-12-31,26973000000.0,1799000000,13325000000.0,13198000000,-19758000000,27314000000
CVX,2020-12-31,44315000000.0,3895000000,11471000000.0,1655000000,-3736000000,10577000000
CVX,2021-12-31,31369000000.0,6947000000,18419000000.0,21131000000,-23113000000,29187000000
D,2018-12-31,35175000000.0,-2486000000,1749000000.0,519000000,-2209000000,4773000000
D,2019-12-31,37897000000.0,-3851000000,2278000000.0,224000000,-704000000,5204000000
D,2020-12-31,37014000000.0,-3957000000,2295000000.0,-793000000,-2333000000,5227000000
D,2021-12-31,40581000000.0,-1404000000,2219000000.0,-1923000000,2371000000,4037000000
DAN,2018-12-31,1783000000.0,1160000000,1065000000.0,243000000,-180000000,568000000
DAN,2019-12-31,2552000000.0,1317000000,1103000000.0,211000000,479000000,637000000
DAN,2020-12-31,2651000000.0,1347000000,1201000000.0,60000000,-12000000,386000000
DAN,2021-12-31,2669000000.0,1412000000,1321000000.0,-211000000,-127000000,158000000
DD,2018-12-31,40464000000.0,24888000000,12376000000.0,760000000,-1918000000,4731000000
