ticker,date,date2,ebit_to_interestExpense,ebitda_to_interestExpense,FreeOperCF_to_TotalDebt,FFO_to_TotalDebt,Return_on_Capital,ebitda_to_Revenue,TotalDebt_to_EnterpriseValue,TotalDebt_to_ebitda,ROCE,ROIC,DIO,DPO,DSO,InventoryTurnover,CCC
4502.T,2021-03-31,2021,3.2385899729370213,7.300521382811186,0.23000489065492277,0.21603556651668226,0.12185777006545637,0.2986266859965501,1.302823288624916,4.854035595506371,0.028846678304928496,0.06722416114827197,277.8301274732968,81.45606028753663,85.80190064331487,1.313752411660544,282.17596782907503
6758.T,2019-03-31,2019,68.13451511991659,98.12890029678351,1.1298803708261644,0.9128376087111636,9.317089274751241,0.1411743812117839,15.74732708591551,1.111231815644125,0.031389099182263326,0.18691150583215885,,,,,
6758.T,2020-03-31,2020,76.82479711451758,113.79197475202885,0.9155265942766205,0.6890258763121212,1.4777180673078607,0.15278094065474276,4.070371489637533,1.4728971681195735,0.029098129337420703,0.10557511965592435,38.30429452627399,129.283783754126,45.70787184083071,9.528957640758433,-45.27161738702131
6758.T,2021-03-31,2021,80.27706196142799,111.73057037340993,0.7627477017946803,0.5606635831241589,1.493067004441701,0.15128153557586319,3.7533396793480005,1.8043302774935601,0.028626527439179282,0.1535127891427646,34.09575169258581,116.68630415795094,,10.705146004432278,
7267.T,2019-03-31,2019,60.10910191420141,109.56079291821139,0.2549178024640164,0.2003554709239516,0.11126523952211739,0.09113851759407379,1.6600399752639752,5.062700914668886,0.030092977163924912,0.05157992517392319,,,,,
7267.T,2020-03-31,2020,25.664749483575683,80.33990846125805,0.31510119702488165,0.267902827508412,0.07988253359167932,0.1328451412761187,1.6872494148589903,3.765888988823864,0.024137124382698424,0.04214851557733863,48.46513787647788,33.004793463936146,17.443938651433402,7.531186663086941,32.904283063975136
7267.T,2021-03-31,2021,47.5757007998847,139.2209411256035,0.2914626825463331,0.25109995680602926,0.09507886116108001,0.14668890421098818,1.6623734674258352,3.9964331725819617,0.023888998627068628,0.0477593942757999,54.300052424933355,35.77613518946781,19.89439045644291,6.721908795660763,38.41830769190845
7751.T,2018-12-31,2018,450.6097867001255,766.2358845671267,2.0027741086521726,1.5489164496403147,-0.8446052863860314,0.1545292852593551,-1.2854520068687711,0.6557975404869901,0.06057156214945256,0.12994214289498035,,,,,
7751.T,2019-12-31,2019,179.9865125240848,408.6252408477842,1.2425069813145455,0.8254030519704979,-1.1509701512255701,0.1180399961149907,-4.535410739921965,1.2140571916266065,0.032525865171195774,0.09262814323771529,110.05924192720494,60.53080247430248,59.5647599879665,3.316395730232426,109.09319944086897
7751.T,2020-12-31,2020,145.2728337236534,412.04683840749414,1.0206155219964754,0.7106339347099405,-1.3547432471199288,0.11134839947434422,-7.64252389364497,1.4384463238303096,0.020844607928051383,0.06823828225533989,117.36896532399298,62.29889036777584,63.23265805825691,3.109851049572006,118.30273301447406
A,2018-10-31,2018,12.946666666666667,15.746666666666666,0.754863813229572,0.6570316842690384,-0.5456,0.24033374033374033,-2.8784,1.5232853513971212,0.09997940691927512,0.07964184731385486,,,,,
A,2019-10-31,2019,14.094594594594595,17.31081081081081,0.5965932696302452,0.5321977565434151,1.3735632183908046,0.24811156304474144,2.7666666666666666,1.879000780640125,0.09044398196323275,0.17847658979734451,101.93066157760815,53.71289228159458,60.303118342049196,3.580865603644647,108.52088763806276
A,2020-10-31,2020,13.397435897435898,17.346153846153847,0.6239932174650276,0.5739720220432386,1.1539424280350439,0.25341824311668854,2.9524405506883604,1.7435328898743534,0.09419506039300522,0.13011615044247787,102.04536370903277,51.642685851318944,67.27102453643003,3.576840600428878,117.67370239414386
A,2021-10-31,2021,17.333333333333332,21.296296296296298,0.7009893733968486,0.6324661048002932,1.1863765373699149,0.27298623199873395,2.5818353831598864,1.5820289855072465,0.1131072262950133,0.17812269031781228,97.1411401098901,50.13736263736264,63.827346099066304,3.7574193548387096,110.83112357159375
AA,2018-12-31,2018,17.024590163934427,23.0327868852459,1.7807991120976692,,4.637931034482759,0.20965455495038424,6.213793103448276,0.6412811387900356,0.10902314839116056,0.0362533692722372,,,,,
AA,2019-12-31,2019,6.181818181818182,12.074380165289256,0.968421052631579,,0.5186915887850467,0.1400364228889102,2.959501557632399,1.3004791238877482,0.04350354774921484,-0.18396540252827678,74.24782659774436,67.47268562030075,24.06977858717531,4.9159688131677735,30.84491956461892
AA,2020-12-31,2020,2.541095890410959,7.013698630136986,0.5406360424028268,,0.313458262350937,0.11027353004522938,4.339011925042589,2.4873046875,0.021054423698995517,-0.025776715602594744,70.06120646138314,66.49135537607269,19.98734654318329,5.209730440499671,23.55719762849374
AA,2021-12-31,2021,10.671794871794871,14.076923076923077,1.680064308681672,,-4.295857988165681,0.22588874259381173,-5.520710059171598,0.6797814207650273,0.11403989478298991,0.06852248394004283,67.2716782063963,61.71584789537312,18.442231731402238,5.425760286225403,23.998062042425424
AAL,2018-12-31,2018,3.5577651515151514,5.6022727272727275,0.2839049046401599,0.2093214611067031,0.10946715985204439,0.1328214454098471,1.1339598120563832,5.7520283975659225,0.047752808988764044,0.04719432959243946,,,,,
AAL,2019-12-31,2019,3.551598173515982,5.668493150684932,0.31614041382609737,0.21262408802774788,0.11525105910132648,0.1356187729417934,1.161330647961664,5.388110198163364,0.04966413812479248,0.05593230510712357,18.961111966733405,21.55821654089019,13.780807551127426,19.24992588200415,11.18370297697064
