ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
MHK,2019-12-31,2899986000.0,1716874000.0,1491592000.0,873299000.0,-789877000.0,1418761000.0,
MHK,2020-12-31,3066910000.0,2992406000.0,1591503000.0,1344282000.0,-188185000.0,1769839000.0,
MHK,2021-12-31,2726609000.0,2292002000.0,1721584000.0,632999000.0,-1232225000.0,1309119000.0,
MHO,2018-12-31,820961000.0,1734129000.0,,-10733000.0,6375000.0,-2592000.0,
MHO,2019-12-31,773227000.0,1805808000.0,,61105000.0,-53483000.0,65631000.0,6308000.0
MHO,2020-12-31,924350000.0,2226042000.0,,156657000.0,120263000.0,168334000.0,0.0
MHO,2021-12-31,1013474000.0,2719952000.0,,-42124000.0,44103000.0,-16823000.0,8571000.0
MIR,2018-12-31,,4705.0,,,,,
MIR,2019-12-31,,4364.0,,0.0,0.0,0.0,
MIR,2020-12-31,,-358011.0,,-945351.0,751386755.0,-945351.0,
MIR,2021-12-31,860600000.0,232500000.0,157400000.0,,,,
MKSI,2018-12-31,347828000.0,1200819000.0,295454000.0,350840000.0,-178006000.0,413781000.0,
MKSI,2019-12-31,949157000.0,1115866000.0,341064000.0,180605000.0,476178000.0,244509000.0,
MKSI,2020-12-31,1032700000.0,1430500000.0,392700000.0,428300000.0,-121500000.0,513200000.0,
MKSI,2021-12-31,1027500000.0,1686500000.0,442600000.0,552800000.0,-65100000.0,639500000.0,
MLKN,2018-05-31,275000000.0,231600000.0,219300000.0,95900000.0,2500000.0,166500000.0,2100000.0
MLKN,2019-05-31,281900000.0,215200000.0,218000000.0,125800000.0,-91900000.0,216400000.0,500000.0
MLKN,2020-05-31,770100000.0,403800000.0,180000000.0,152800000.0,244000000.0,221800000.0,200000.0
MLKN,2021-05-31,474000000.0,390700000.0,204700000.0,272500000.0,-347700000.0,332300000.0,14000000.0
MLM,2018-12-31,3120481000.0,579066000.0,523276000.0,329194000.0,-158414000.0,705148000.0,
MLM,2019-12-31,3260200000.0,588200000.0,573700000.0,572600000.0,-604100000.0,966100000.0,
MLM,2020-12-31,3084800000.0,1169000000.0,575100000.0,690400000.0,-357000000.0,1050100000.0,
MLM,2021-12-31,5534100000.0,1273000000.0,774000000.0,714600000.0,2291400000.0,1137700000.0,
MOG-A,2018-09-30,862824000.0,795797000.0,451594000.0,7890000.0,-221569000.0,102407000.0,
MOG-A,2019-09-30,833233000.0,901315000.0,477154000.0,63001000.0,-98681000.0,181423000.0,
MOG-A,2020-09-30,930332000.0,902933000.0,363089000.0,190893000.0,-142766000.0,279177000.0,
MOG-A,2021-09-30,903720000.0,849419000.0,395674000.0,164492000.0,-86995000.0,293226000.0,
MOS,2018-12-31,4529000000.0,1753300000.0,703700000.0,455300000.0,-724800000.0,1409800000.0,
MOS,2019-12-31,4808400000.0,1126500000.0,649300000.0,-176800000.0,-82200000.0,1095400000.0,
MOS,2020-12-31,4751700000.0,374700000.0,732500000.0,412000000.0,-283800000.0,1582600000.0,
MOS,2021-12-31,4405600000.0,537900000.0,1344700000.0,898400000.0,-682100000.0,2187000000.0,
MRVL,2019-01-31,1732699000.0,758462000.0,493122000.0,509283000.0,849737000.0,596744000.0,43525000.0
MRVL,2020-01-31,1583464000.0,827331000.0,492346000.0,273664000.0,-853949000.0,360297000.0,620000.0
MRVL,2021-01-31,1329689000.0,540048000.0,536668000.0,697781000.0,-596780000.0,817287000.0,738000.0
MRVL,2022-01-31,4726477000.0,1104908000.0,1048583000.0,632247000.0,2790828000.0,819368000.0,
MSFT,2018-06-30,81808000000.0,111174000000.0,26481000000.0,32252000000.0,-33590000000.0,43884000000.0,
MSFT,2019-06-30,78366000000.0,106132000000.0,29524000000.0,38260000000.0,-36887000000.0,52185000000.0,
MSFT,2020-06-30,70998000000.0,109605000000.0,32011000000.0,45234000000.0,-46031000000.0,60675000000.0,
MSFT,2021-06-30,67775000000.0,95749000000.0,38043000000.0,56118000000.0,-48486000000.0,76740000000.0,
MSI,2018-12-31,5320000000.0,1176000000.0,1293000000.0,878000000.0,220000000.0,1075000000.0,0.0
MSI,2019-12-31,5748000000.0,739000000.0,1412000000.0,1575000000.0,-1144000000.0,1823000000.0,7000000.0
