,ticker,date,exchange_rate
460,EMR,2019-09-30,1.0
461,EMR,2020-09-30,1.0
462,EMR,2021-09-30,1.0
463,ENDP,2017-12-31,1.0
464,ENDP,2018-12-31,1.0
465,ENDP,2019-12-31,1.0
466,ENDP,2020-12-31,1.0
467,ENELAM.SN,2017-12-31,0.0016
468,ENELAM.SN,2018-12-31,0.0014
469,ENELAM.SN,2019-12-31,0.0014
470,ENELAM.SN,2020-12-31,0.0013
471,ENI.MI,2018-12-31,1.145
472,ENI.MI,2019-12-31,1.1234
473,ENI.MI,2020-12-31,1.2271
474,ENI.MI,2021-12-31,1.1326
475,ENS,2018-03-31,1.0
476,ENS,2019-03-31,1.0
477,ENS,2020-03-31,1.0
478,ENS,2021-03-31,1.0
479,ENTG,2017-12-31,1.0
480,ENTG,2018-12-31,1.0
481,ENTG,2019-12-31,1.0
482,ENTG,2020-12-31,1.0
483,EOG,2017-12-31,1.0
484,EOG,2018-12-31,1.0
485,EOG,2019-12-31,1.0
486,EOG,2020-12-31,1.0
487,EPC,2018-09-30,1.0
488,EPC,2019-09-30,1.0
489,EPC,2020-09-30,1.0
490,EPC,2021-09-30,1.0
491,ERIC-B.ST,2018-12-31,0.11165502983968484
492,ERIC-B.ST,2019-12-31,0.1075353218210361
493,ERIC-B.ST,2020-12-31,0.12229054343601448
494,ERIC-B.ST,2021-12-31,0.11049432699530747
495,ESI,2017-12-31,1.0
496,ESI,2018-12-31,1.0
497,ESI,2019-12-31,1.0
498,ESI,2020-12-31,1.0
499,ETN,2018-12-31,1.0
500,ETN,2019-12-31,1.0
501,ETN,2020-12-31,1.0
502,ETN,2021-12-31,1.0
503,EW,2018-12-31,1.0
504,EW,2019-12-31,1.0
505,EW,2020-12-31,1.0
506,EW,2021-12-31,1.0
507,EXP,2018-03-31,1.0
508,EXP,2019-03-31,1.0
509,EXP,2020-03-31,1.0
510,EXP,2021-03-31,1.0
511,FBHS,2018-12-31,1.0
512,FBHS,2019-12-31,1.0
513,FBHS,2020-12-31,1.0
514,FBHS,2021-12-31,1.0
515,FCFS,2018-12-31,1.0
516,FCFS,2019-12-31,1.0
517,FCFS,2020-12-31,1.0
518,FCFS,2021-12-31,1.0
519,FCX,2018-12-31,1.0
520,FCX,2019-12-31,1.0
521,FCX,2020-12-31,1.0
522,FCX,2021-12-31,1.0
523,FEMSAUBD.MX,2014-12-31,0.06794866772256393
524,FEMSAUBD.MX,2015-12-31,0.05755901557006529
525,FEMSAUBD.MX,2016-12-31,0.049480655612731086
526,FEMSAUBD.MX,2017-12-31,0.0506863557216033
527,FERG,2018-07-31,1.0
528,FERG,2019-07-31,1.0
529,FERG,2020-07-31,1.0
530,FERG,2021-07-31,1.0
531,FET,2017-12-31,1.0
532,FET,2018-12-31,1.0
533,FET,2019-12-31,1.0
534,FET,2020-12-31,1.0
535,FISV,2017-12-31,1.0
536,FISV,2018-12-31,1.0
537,FISV,2019-12-31,1.0
538,FISV,2020-12-31,1.0
539,FLO,2018-12-29,1.0
540,FLO,2019-12-28,1.0
541,FLO,2021-01-02,1.0
542,FLO,2022-01-01,1.0
543,FLOW,2017-12-31,1.0
