ticker,date,exchange_rate
DHI,2020-12-31,1.0
DHI,2021-03-31,1.0
DHI,2021-06-30,1.0
DHI,2021-09-30,1.0
DHR,2021-04-02,1.0
DHR,2021-07-02,1.0
DHR,2021-10-01,1.0
DHR,2021-12-31,1.0
DIS,2021-01-02,1.0
DIS,2021-04-03,1.0
DIS,2021-07-03,1.0
DIS,2021-10-02,1.0
DOLE,2020-06-30,1.0
DOLE,2020-09-30,1.0
DOLE,2021-03-31,1.0
DOLE,2021-09-30,1.0
DOV,2020-12-31,1.0
DOV,2021-03-31,1.0
DOV,2021-06-30,1.0
DOV,2021-09-30,1.0
EAF,2020-12-31,1.0
EAF,2021-03-31,1.0
EAF,2021-06-30,1.0
EAF,2021-09-30,1.0
EBS,2020-12-31,1.0
EBS,2021-03-31,1.0
EBS,2021-06-30,1.0
EBS,2021-09-30,1.0
EC,2021-03-31,1.0
EC,2021-06-30,1.0
EC,2021-09-30,1.0
EC,2021-12-31,1.0
ELAN,2020-12-31,1.0
ELAN,2021-03-31,1.0
ELAN,2021-06-30,1.0
ELAN,2021-09-30,1.0
ELD.TO,2021-03-31,0.7931944256528211
ELD.TO,2021-06-30,0.807227278902323
ELD.TO,2021-09-30,0.7850169491525423
ELD.TO,2021-12-31,0.7869103036198152
EMN,2020-12-31,1.0
EMN,2021-03-31,1.0
EMN,2021-06-30,1.0
EMN,2021-09-30,1.0
EMR,2020-12-31,1.0
EMR,2021-03-31,1.0
EMR,2021-06-30,1.0
EMR,2021-09-30,1.0
ENDP,2020-12-31,1.0
ENDP,2021-03-31,1.0
ENDP,2021-06-30,1.0
ENDP,2021-09-30,1.0
ENELAM.SN,2020-12-31,0.0013
ENELAM.SN,2021-03-31,0.0014
ENELAM.SN,2021-06-30,0.0014
ENELAM.SN,2021-09-30,0.0012
ENI.MI,2021-03-31,1.1725
ENI.MI,2021-06-30,1.1884
ENI.MI,2021-09-30,1.1579
ENI.MI,2021-12-31,1.1326
ENS,2021-01-03,1.0
ENS,2021-03-31,1.0
ENS,2021-07-04,1.0
ENS,2021-10-03,1.0
ENTG,2020-12-31,1.0
ENTG,2021-04-03,1.0
ENTG,2021-07-03,1.0
ENTG,2021-10-02,1.0
EOG,2020-12-31,1.0
EOG,2021-03-31,1.0
EOG,2021-06-30,1.0
EOG,2021-09-30,1.0
EPC,2021-03-31,1.0
EPC,2021-06-30,1.0
EPC,2021-09-30,1.0
EPC,2021-12-31,1.0
ERIC-B.ST,2021-03-31,0.1145209653946456
ERIC-B.ST,2021-06-30,0.1175353575314014
ERIC-B.ST,2021-09-30,0.1138735088461198
ERIC-B.ST,2021-12-31,0.1104943269953074
ESI,2020-12-31,1.0
ESI,2021-03-31,1.0
ESI,2021-06-30,1.0
ESI,2021-09-30,1.0
ETN,2021-03-31,1.0
ETN,2021-06-30,1.0
ETN,2021-09-30,1.0
ETN,2021-12-31,1.0
EW,2021-03-31,1.0
EW,2021-06-30,1.0
