ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
ALKS,2018-12-31,279308000.0,643478000.0,292223000.0,29850000.0,-1620000.0,99281000.0,507000.0
ALKS,2019-12-31,290946000.0,570858000.0,257086000.0,-18865000.0,6765000.0,72077000.0,900000.0
ALKS,2020-12-31,410157000.0,672713000.0,275143000.0,40623000.0,-2171000.0,82842000.0,643000.0
ALKS,2021-12-31,416206000.0,590883000.0,313193000.0,72695000.0,29072000.0,101715000.0,287000.0
AMAT,2018-10-31,5309000000.0,6679000000.0,2565000000.0,3165000000.0,-5928000000.0,3787000000.0,
AMAT,2019-10-31,5313000000.0,5759000000.0,2533000000.0,2806000000.0,-3115000000.0,3247000000.0,
AMAT,2020-10-31,5707000000.0,8910000000.0,2963000000.0,3382000000.0,-1337000000.0,3804000000.0,
AMAT,2021-10-31,5753000000.0,9763000000.0,4953000000.0,4774000000.0,-4591000000.0,5442000000.0,
AMD,2018-12-31,1250000000.0,1556000000.0,1235000000.0,-129000000.0,28000000.0,34000000.0,
AMD,2019-12-31,728000000.0,2238000000.0,1859000000.0,276000000.0,43000000.0,493000000.0,
AMD,2020-12-31,531000000.0,3726000000.0,2066000000.0,777000000.0,6000000.0,1071000000.0,
AMD,2021-12-31,661000000.0,4343000000.0,2706000000.0,3220000000.0,-1895000000.0,3521000000.0,
AME,2018-12-31,2632713000.0,577440000.0,732839000.0,843442000.0,13040000.0,925518000.0,2570000.0
AME,2019-12-31,2811766000.0,599913000.0,744760000.0,1012076000.0,72913000.0,1114422000.0,11306000.0
AME,2020-12-31,2458673000.0,1446555000.0,597472000.0,1206781000.0,-539436000.0,1280980000.0,9508000.0
AME,2021-12-31,2591594000.0,565451000.0,829213000.0,1049786000.0,39337000.0,1160457000.0,2341000.0
AMKR,2018-12-31,1332311000.0,512785000.0,724456000.0,116288000.0,-40623000.0,663410000.0,2841000.0
AMKR,2019-12-31,1591434000.0,941730000.0,850753000.0,91417000.0,108250000.0,563850000.0,10117000.0
AMKR,2020-12-31,1301148000.0,816945000.0,962643000.0,217012000.0,-333719000.0,770033000.0,3819000.0
AMKR,2021-12-31,1317085000.0,1176828000.0,1258767000.0,341516000.0,-30102000.0,1121295000.0,3157000.0
APD,2018-09-30,3812600000.0,2743900000.0,1207200000.0,973500000.0,-1359800000.0,2541900000.0,
APD,2019-09-30,3326000000.0,2797400000.0,1260200000.0,980200000.0,-1370500000.0,2969900000.0,
APD,2020-09-30,8314300000.0,6268200000.0,1274800000.0,755700000.0,3284700000.0,3264700000.0,
APD,2021-09-30,8219200000.0,5577200000.0,1451300000.0,877700000.0,-1420900000.0,3341900000.0,
APH,2018-12-31,3570700000.0,2120300000.0,1791800000.0,802100000.0,-1070100000.0,1112700000.0,5000000.0
APH,2019-12-31,3606700000.0,2078500000.0,1736400000.0,1207300000.0,-648400000.0,1502300000.0,7400000.0
APH,2020-12-31,3866500000.0,3186500000.0,1951600000.0,1315200000.0,-516600000.0,1592000000.0,12700000.0
APH,2021-12-31,4799900000.0,3511100000.0,2454800000.0,1179700000.0,-145200000.0,1540100000.0,3700000.0
APTV,2018-12-31,4344000000.0,1083000000.0,2487000000.0,782000000.0,-555000000.0,1628000000.0,13000000.0
APTV,2019-12-31,4787000000.0,1265000000.0,2569000000.0,843000000.0,-649000000.0,1624000000.0,14000000.0
APTV,2020-12-31,4501000000.0,3419000000.0,2812000000.0,829000000.0,1613000000.0,1413000000.0,10000000.0
