,ticker,date,exchange_rate
261,CCU,2018-12-31,1.0
262,CCU,2019-12-31,1.0
263,CCU,2020-12-31,1.0
264,CCU,2021-12-31,1.0
265,CDE,2018-12-31,1.0
266,CDE,2019-12-31,1.0
267,CDE,2020-12-31,1.0
268,CDE,2021-12-31,1.0
269,CENX,2018-12-31,1.0
270,CENX,2019-12-31,1.0
271,CENX,2020-12-31,1.0
272,CENX,2021-12-31,1.0
273,CF,2018-12-31,1.0
274,CF,2019-12-31,1.0
275,CF,2020-12-31,1.0
276,CF,2021-12-31,1.0
277,CHD,2018-12-31,1.0
278,CHD,2019-12-31,1.0
279,CHD,2020-12-31,1.0
280,CHD,2021-12-31,1.0
281,CHX,2018-12-31,1.0
282,CHX,2019-12-31,1.0
283,CHX,2020-12-31,1.0
284,CHX,2021-12-31,1.0
285,CIEN,2018-10-31,1.0
286,CIEN,2019-10-31,1.0
287,CIEN,2020-10-31,1.0
288,CIEN,2021-10-31,1.0
289,CLMT,2018-12-31,1.0
290,CLMT,2019-12-31,1.0
291,CLMT,2020-12-31,1.0
292,CLMT,2021-12-31,1.0
293,CLS,2018-12-31,1.0
294,CLS,2019-12-31,1.0
295,CLS,2020-12-31,1.0
296,CLS,2021-12-31,1.0
297,CMC,2018-08-31,1.0
298,CMC,2019-08-31,1.0
299,CMC,2020-08-31,1.0
300,CMC,2021-08-31,1.0
301,CMCO,2019-03-31,1.0
302,CMCO,2020-03-31,1.0
303,CMCO,2021-03-31,1.0
304,CMI,2018-12-31,1.0
305,CMI,2019-12-31,1.0
306,CMI,2020-12-31,1.0
307,CMI,2021-12-31,1.0
308,CNQ,2018-12-31,1.0
309,CNQ,2019-12-31,1.0
310,CNQ,2020-12-31,1.0
311,CNQ,2021-12-31,1.0
312,CNR,2018-10-31,1.0
313,CNR,2018-12-31,1.0
314,CNR,2019-12-31,1.0
315,CNR,2020-12-31,1.0
316,CNR,2021-12-31,1.0
317,COHR,2018-09-30,1.0
318,COHR,2019-09-30,1.0
319,COHR,2020-09-30,1.0
320,COHR,2021-09-30,1.0
321,COHU,2018-12-31,1.0
322,COHU,2019-12-31,1.0
323,COHU,2020-12-31,1.0
324,COHU,2021-12-31,1.0
325,COP,2018-12-31,1.0
326,COP,2019-12-31,1.0
327,COP,2020-12-31,1.0
328,COP,2021-12-31,1.0
329,COST,2018-08-31,1.0
330,COST,2019-08-31,1.0
331,COST,2020-08-31,1.0
332,COST,2021-08-31,1.0
333,CPAC,2018-12-31,1.0
334,CPAC,2019-12-31,1.0
335,CPAC,2020-12-31,1.0
336,CPAC,2021-12-31,1.0
337,CR,2018-12-31,1.0
338,CR,2019-12-31,1.0
339,CR,2020-12-31,1.0
340,CR,2021-12-31,1.0
341,CRG.IR,2018-12-31,1.145
342,CRG.IR,2019-12-31,1.1234
343,CRG.IR,2020-12-31,1.2271
344,CRG.IR,2021-12-31,1.1326
345,CRL,2018-12-31,1.0
346,CRL,2019-12-31,1.0
347,CRL,2020-12-31,1.0
348,CRL,2021-12-31,1.0
349,CRS,2018-06-30,1.0
350,CRS,2019-06-30,1.0
351,CRS,2020-06-30,1.0
352,CRS,2021-06-30,1.0
353,CRSR,2018-12-31,1.0
354,CRSR,2019-12-31,1.0
355,CRSR,2020-12-31,1.0
356,CRSR,2021-12-31,1.0
357,CSCO,2018-07-31,1.0
358,CSCO,2019-07-31,1.0
359,CSCO,2020-07-31,1.0
360,CSCO,2021-07-31,1.0
361,CSL,2018-12-31,1.0
362,CSL,2019-12-31,1.0
